,Unique ID,Status Code,Recipient,Site Address,City,Type,Size of Array (in kW),Value of grant,Value of Project,Installer,Commissioning Date,Latitude,Longitude,Incomplete Address
166,S-016,C,2 Milwaukee Area Technical College Mequon,"5555 West Highland Rd. Mequon, WI 53092",Mequon,Technical College,338,18981,709800,Arch Electric,7/1/21 0:00,43.24906944,-87.980497,FALSE
167,S-017,C,2 Milwaukee Area Technical College Oak Creek,"6665 South Howell Ave. Oak Creek, WI 53154",Oak Creek,Technical College,342,18981,718200,Arch Electric,7/1/21 0:00,42.92508056,-87.916158,FALSE
168,S-018,C,3 Hamilton Elementary School,"1111 S. 7th Street, La Crosse, WI 54601",LaCrosse,School,97.68,18559.2,205128,"Solar Connections, LLC",8/1/21 0:00,43.80011944,-91.247061,FALSE
169,S-019,C,4 Sevastopol School District,"4550 Hwy 57, Sturgeon Bay, WI 54235",Sturgeon Bay,School,19.98,3796.2,42800,Eland Electric,5/1/21 0:00,44.89071111,-87.289419,FALSE
170,S-021,C,5 Madison College - Watertown Campus,1300 W. Main St. Watertown WI 53098,Watertown,Technical College,150,37962,315000,Arch Electric,3/1/21 0:00,43.19836389,-88.754656,FALSE
171,S-022,C,4 Sawyer Elementary School - Sturgeon Bay School District,"60 Willow Drive, Sturgeon Bay, WI 54235",Sturgeon Bay,Technical College,51.8,9842,108780,Eland Electric,9/1/21 0:00,44.82251111,-87.384253,FALSE
172,S-023,C,2 Chippewa Valley Technical College,"Energy Education Center CVTC, 4000 Campus Road, Eau Claire WI 54703",Eau Claire,Technical College,80,26573.399999999998,168000,Next Step Energy,4/1/21 0:00,44.83812778,-91.552797,FALSE
173,S-024,C,6 Cashton School District,"436 Front St, Cashton, WI 54619",Cashton,School,61,11669.8,128100,Olson Solar Energy,8/1/21 0:00,43.73896389,-90.783444,FALSE
174,S-025,C,6 Madison College - Truax Fitness Center,1701 Wright St. Madison WI 53704,Madison,Technical College,72.6,18981,152460,Arch Electric,8/1/21 0:00,43.12179167,-89.329653,FALSE
175,S-026,C,2 Lakeshore Technical College,"1290 North Avenue Cleveland, WI 53015",Cleveland,Technical College,20.72,3936.7999999999997,43512,Arch Electric,9/1/21 0:00,43.92388889,-87.752678,FALSE
176,S-027,C,7  Elkhorn School District,482 E. Geneva Street,Elkhorn,School,9.99,3796.2,20979,Adams Electric,10/1/21 0:00,42.6718,-88.531606,TRUE
177,S-028,C,Owen-Withee High School,"832 W 3rd St, Owen, WI 54460",Owen,School,115.4,158515,158515,Next Step Energy ,10/1/22 0:00,44.94969722,-90.579431,FALSE
178,S-029,C,Reedsburg - Pineview El.,"1121 8th Street, Reedsburg, WI 53959",Reedsburg,School,33.8,15219,70980,All Sky Energies,9/1/22 0:00,43.54050278,-89.992458,FALSE
179,S-031,C,Northland Pines - St Germain Elementary ,"8234 W STH 70, St Germain, WI 54558",St. Germain,School,70,15819.75,147000,Carlson Electric,7/1/22 0:00,45.91286389,-89.498425,FALSE
180,S-035,C,West Salem SD - West Salem Middle School,"440 East Ave, West Salem, WI 54669",West Salem,School,128.16,28836,269136,"Solar Connections, Inc",9/1/22 0:00,43.90072778,-91.076556,FALSE
181,S-038,C,Baraboo HS,"1201 Draper St, Baraboo, WI 53913",Baraboo,School,150,25000,315000,Westphal Electric ,8/1/22 0:00,43.47716111,-89.755889,FALSE
182,S-039,C,Baraboo MS,"1531 Draper St, Baraboo, WI 53913",Baraboo,School,150,25000,315000,Westphal Electric ,8/1/22 0:00,43.48069444,-89.755964,FALSE
183,S-040,C,La Crosse SD - Northside El.,"1611 Kane St, La Crosse, WI 54603",La Crosse ,School,129.94,28836,272874,"Solar Connections, Inc",9/1/22 0:00,43.84741944,-91.241792,FALSE
184,S-043,C,SD of Menomonie - Middle School,"920 21st St SE, Menomonie, WI 54751",Menomonie,School,114.48,24910,240408,Olson Solar,9/1/22 0:00,44.87448333,-91.898789,FALSE
185,S-046,C,Mount Horeb area School District Children's Community School,"211 Parkway Drive Mount Horeb, WI 53572",Mount Horeb,School,60,12636,14094,Glow Solar/E & S Electric,6/27/23 0:00,43.00369444,-89.742636,FALSE
186,,,,,,,,,,,,,,
187,,,,,,,11691.209999999994,2473856.0999999996,26173404.990000002,,,,,
