,Unnamed: 0.1,Unnamed: 0,Unique ID,Status Code,Recipient,Site Address,City,Type,Size of Array (in kW),Value of grant,Value of Project,Installer,Commissioning Date,Latitude,Longitude,Image URL
28,28,28,C024,C,Humane Society of Burnett Co,7410 County Rd D,Webster,Animal Care,19.72,8112.0,54080.0,Carlson Electric,12/21/18 0:00,45.84615833,-92.365989,
29,29,29,C043,C,Juda School District, N2385 Spring St,Juda,School,4.5,2704.0,13520.0,Synergy ,10/3/19 0:00,42.59080833,-89.510386,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C043-JudaSD-1.jpg
30,30,30,C037,C,Lawton Memorial Library,118 N. Bird St.,La Farge,Library,11.2,6140.0,30702.0,Ethos Green Power,5/20/19 0:00,43.57501111,-90.637314,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C037-LawtonML-1.jpg
31,31,31,C036,C,Literacy Network,701 Dane Street,Madison,Adult Education,19.04,8900.0,44738.46,WES Engineering,5/16/19 0:00,43.04270556,-89.393572,
32,32,32,C023,C,Madison Audobon Society,"W7480 Prairie Lane, Lake Mills, WI",Lake Mills,Conservation,7.5,4425.0,22125.0,Midwest Solar,12/12/18 0:00,43.13958611,-88.9004,
33,33,33,C045,C,NeighborWorks Green Bay,437 S. Jackson Street,Green Bay,Housing,64.68,29624.0,148117.0,Arch Electric,11/8/19 0:00,44.50659722,-88.010489,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C045-NeighborworksGB-2.jpg
34,34,34,C041,C,Northland Lutheran High School,2107 Tower Road,Kronenwetter,School,51.34,10000.0,145549.0,Carlson Electric,8/29/19 0:00,44.84485556,-89.630978,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C041-NorthlandLutheranHS.jpg
35,35,35,C031,C,Oregon Ice Arena,100 N Perry Pkwy,Oregon,Youth Services,190.4,20000.0,381000.0,Full Spectrum Solar,2/7/19 0:00,42.92516111,-89.373144,
36,36,36,C047,C,"Primates, Inc","W8782 County Rd M, Westfield, WI 53964",Westfield,Animal Care,14.28,7951.0,38903.0,Convergence,10/15/20 0:00,43.93975,-89.593894,
37,37,37,C046,C,Redeemer Lutheran,"631 N 19th St, Milwaukee, WI 53233",Milwaukee,Faith,26.18,10000.0,68068.0,SunBadger Solar,11/13/19 0:00,43.03822778,-87.936933,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C046-RedeemerLutheran.jpg
38,38,38,C025,C,SCHA - Exeland Senior Housing,946 N Washington Ave,Exeland,Housing,12.24,5826.0,29131.2,Carlson Electric,1/2/19 0:00,45.66982222,-91.245036,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C025-030-SCHA-1.jpg
39,39,39,C026,C,SCHA-Gibson,5888-5890 N Gibson Ave,Stone Lake,Housing,10.88,5178.0,25894.4,Carlson Electric,1/2/19 0:00,45.84855278,-91.539297,
40,40,40,C027,C,SCHA-Plainview Village,1050 and 1054 Vitcenda Lane,Exeland,Housing,21.08,9710.0,48552.0,Carlson Electric,1/2/19 0:00,45.67347778,-91.245692,
