Unique ID,Status Code,Recipient,Site Address,City,Type,Size of Array (in kW),Value of grant,Value of Project,Installer,Commissioning Date,Latitude,Longitude,Incomplete Address,Image URL
C044,C,Blackhawk Evangelical ,"5935 Astor Dr., Fitchburg, WI 53711",Middleton,Faith,100.0,20000.0,190000.0,H and H,2019-10-18 00:00:00,43.00699894627579,-89.45596424786103,FALSE,
C034,C,Christ Lutheran Church,"237 Daley St, Spring Green, WI 53588",Spring Green,Faith,18.36,8500.0,42807.68,WES Engineering,2019-04-01 00:00:00,43.17894189795918,-90.0701546122449,FALSE,
C038,C,Housing Authority of Milwaukee,"6236 W Birch Ave, Milwaukee, WI 53218",Milwaukee,Housing,3.96,3028.0,15140.0,Arch Electric,2019-06-27 00:00:00,43.1175113,-87.9895317,FALSE,
C024,C,Humane Society of Burnett Co,"25597 WI-35, Webster, WI 54893",Webster,Animal Care,19.72,8112.0,54080.0,Carlson Electric,2018-12-21 00:00:00,45.8774469,-92.3674164,FALSE,
C043,C,Juda School District,"N2385 Spring St, Juda, WI 53550",Juda,School,4.5,2704.0,13520.0,Synergy ,2019-10-03 00:00:00,42.590638,-89.5103266,FALSE,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C043-JudaSD-1.jpg
C037,C,Lawton Memorial Library,"118 N Bird St, La Farge, WI 54639",La Farge,Library,11.2,6140.0,30702.0,Ethos Green Power,2019-05-20 00:00:00,43.5746017755102,-90.63748691836734,FALSE,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C037-LawtonML-1.jpg
C036,C,Literacy Network,"701 Dane St, Madison, WI 53713",Madison,Adult Education,19.04,8900.0,44738.46,WES Engineering,2019-05-16 00:00:00,43.043002,-89.393236,FALSE,
C023,C,Madison Audobon Society,"W7480 Prairie Ln, Lake Mills, WI 53551",Lake Mills,Conservation,7.5,4425.0,22125.0,Midwest Solar,2018-12-12 00:00:00,43.139632,-88.90039,FALSE,
C045,C,NeighborWorks Green Bay,"437 S Jackson St, Green Bay, WI 54301",Green Bay,Housing,64.68,29624.0,148117.0,Arch Electric,2019-11-08 00:00:00,44.50716534693878,-88.01040612244898,FALSE,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C045-NeighborworksGB-2.jpg
C041,C,Northland Lutheran High School,"2107 Tower Rd, Kronenwetter, WI 54455",Kronenwetter,School,51.34,10000.0,145549.0,Carlson Electric,2019-08-29 00:00:00,44.84420468090143,-89.62907705256241,FALSE,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C041-NorthlandLutheranHS.jpg
C031,C,Oregon Ice Arena,"100 N Perry Pkwy, Oregon, WI 53575",Oregon,Youth Services,190.4,20000.0,381000.0,Full Spectrum Solar,2019-02-07 00:00:00,42.929193,-89.373504,FALSE,
C047,C,"Primates, Inc","W8782 County Rd M, Westfield, WI 53964",Westfield,Animal Care,14.28,7951.0,38903.0,Convergence,2020-10-15 00:00:00,43.866539,-89.495674,FALSE,
